font_family,font_stem,codepoint_hex,character,glyph_name,svg_file
Geosiana Default,geosiana-marker_default,U+00B1,±,plusminus,svg/geosiana-marker_default/u00B1-plusminus.svg
Geosiana Default,geosiana-marker_default,U+00B2,²,uni00B2,svg/geosiana-marker_default/u00B2-uni00b2.svg
Geosiana Default,geosiana-marker_default,U+00B3,³,uni00B3,svg/geosiana-marker_default/u00B3-uni00b3.svg
Geosiana Default,geosiana-marker_default,U+00B4,´,acute,svg/geosiana-marker_default/u00B4-acute.svg
Geosiana Default,geosiana-marker_default,U+00B5,µ,mu,svg/geosiana-marker_default/u00B5-mu.svg
Geosiana Default,geosiana-marker_default,U+00B6,¶,paragraph,svg/geosiana-marker_default/u00B6-paragraph.svg
Geosiana Default,geosiana-marker_default,U+00B7,·,periodcentered,svg/geosiana-marker_default/u00B7-periodcentered.svg
Geosiana Default,geosiana-marker_default,U+00B8,¸,cedilla,svg/geosiana-marker_default/u00B8-cedilla.svg
Geosiana Default,geosiana-marker_default,U+00B9,¹,uni00B9,svg/geosiana-marker_default/u00B9-uni00b9.svg
Geosiana Default,geosiana-marker_default,U+00BA,º,ordmasculine,svg/geosiana-marker_default/u00BA-ordmasculine.svg
Geosiana Default,geosiana-marker_default,U+00BB,»,guillemotright,svg/geosiana-marker_default/u00BB-guillemotright.svg
Geosiana Default,geosiana-marker_default,U+00BC,¼,onequarter,svg/geosiana-marker_default/u00BC-onequarter.svg
Geosiana Default,geosiana-marker_default,U+00BD,½,onehalf,svg/geosiana-marker_default/u00BD-onehalf.svg
Geosiana Default,geosiana-marker_default,U+00BE,¾,threequarters,svg/geosiana-marker_default/u00BE-threequarters.svg
Geosiana Default,geosiana-marker_default,U+00BF,¿,questiondown,svg/geosiana-marker_default/u00BF-questiondown.svg
Geosiana Default,geosiana-marker_default,U+00C0,À,Agrave,svg/geosiana-marker_default/u00C0-agrave.svg
Geosiana Default,geosiana-marker_default,U+00C1,Á,Aacute,svg/geosiana-marker_default/u00C1-aacute.svg
Geosiana Default,geosiana-marker_default,U+00C2,Â,Acircumflex,svg/geosiana-marker_default/u00C2-acircumflex.svg
Geosiana Default,geosiana-marker_default,U+00C3,Ã,Atilde,svg/geosiana-marker_default/u00C3-atilde.svg
Geosiana Default,geosiana-marker_default,U+00C4,Ä,Adieresis,svg/geosiana-marker_default/u00C4-adieresis.svg
