font_family,font_stem,codepoint_hex,character,glyph_name,svg_file
Geosiana Extra,geosiana-marker_extra,U+00C1,Á,Aacute,svg/geosiana-marker_extra/u00C1-aacute.svg
Geosiana Extra,geosiana-marker_extra,U+00C2,Â,Acircumflex,svg/geosiana-marker_extra/u00C2-acircumflex.svg
Geosiana Extra,geosiana-marker_extra,U+00C3,Ã,Atilde,svg/geosiana-marker_extra/u00C3-atilde.svg
Geosiana Extra,geosiana-marker_extra,U+00C4,Ä,Adieresis,svg/geosiana-marker_extra/u00C4-adieresis.svg
Geosiana Extra,geosiana-marker_extra,U+00C5,Å,Aring,svg/geosiana-marker_extra/u00C5-aring.svg
Geosiana Extra,geosiana-marker_extra,U+00C6,Æ,AE,svg/geosiana-marker_extra/u00C6-ae.svg
Geosiana Extra,geosiana-marker_extra,U+00C7,Ç,Ccedilla,svg/geosiana-marker_extra/u00C7-ccedilla.svg
Geosiana Extra,geosiana-marker_extra,U+00C8,È,Egrave,svg/geosiana-marker_extra/u00C8-egrave.svg
Geosiana Extra,geosiana-marker_extra,U+00C9,É,Eacute,svg/geosiana-marker_extra/u00C9-eacute.svg
Geosiana Extra,geosiana-marker_extra,U+00CA,Ê,Ecircumflex,svg/geosiana-marker_extra/u00CA-ecircumflex.svg
Geosiana Extra,geosiana-marker_extra,U+00CB,Ë,Edieresis,svg/geosiana-marker_extra/u00CB-edieresis.svg
Geosiana Extra,geosiana-marker_extra,U+00CC,Ì,Igrave,svg/geosiana-marker_extra/u00CC-igrave.svg
Geosiana Extra,geosiana-marker_extra,U+00CD,Í,Iacute,svg/geosiana-marker_extra/u00CD-iacute.svg
Geosiana Extra,geosiana-marker_extra,U+00CE,Î,Icircumflex,svg/geosiana-marker_extra/u00CE-icircumflex.svg
Geosiana Extra,geosiana-marker_extra,U+00CF,Ï,Idieresis,svg/geosiana-marker_extra/u00CF-idieresis.svg
Geosiana Extra,geosiana-marker_extra,U+00D0,Ð,Eth,svg/geosiana-marker_extra/u00D0-eth.svg
Geosiana Extra,geosiana-marker_extra,U+00D1,Ñ,Ntilde,svg/geosiana-marker_extra/u00D1-ntilde.svg
Geosiana Extra,geosiana-marker_extra,U+00D2,Ò,Ograve,svg/geosiana-marker_extra/u00D2-ograve.svg
Geosiana Extra,geosiana-marker_extra,U+00D3,Ó,Oacute,svg/geosiana-marker_extra/u00D3-oacute.svg
Geosiana Extra,geosiana-marker_extra,U+00D4,Ô,Ocircumflex,svg/geosiana-marker_extra/u00D4-ocircumflex.svg
Geosiana Extra,geosiana-marker_extra,U+00D5,Õ,Otilde,svg/geosiana-marker_extra/u00D5-otilde.svg
Geosiana Extra,geosiana-marker_extra,U+00D6,Ö,Odieresis,svg/geosiana-marker_extra/u00D6-odieresis.svg
